drinkname,brand,price,quantity,typ
Flowdesk,DIPHENHYDRAMINE HYDROCHLORIDE,72,81,Isuzu
Bigtax,TERRASIL COLD SORE TREATMENT,96,93,Ford
Pannier,Enoxaparin Sodium,68,76,Chevrolet
Zathin,Hawaiian Tropic Dry,99,77,Hyundai
Trippledex,Witch Hazel,57,33,Nissan
Span,VALTREX,88,27,BMW
Cardify,ACER NEGUNDO POLLEN,74,82,Honda
Zathin,SORIATANE,72,22,Nissan
Job,Morphine Sulfate,19,7,Ford
Tres-Zap,Ceramide,47,5,Chevrolet
Vagram,CounterAct,63,70,Mercedes-Benz
Ronstring,Apiol,67,65,Chevrolet
Flexidy,Rite Aid Essential Defense,12,76,Audi
Stringtough,Neutrogena,33,17,Lexus
Daltfresh,Decon Hand Instant Hand Sanitizer,88,4,Honda
Cardguard,Muscle and Joint,10,82,Honda
Zamit,Naturals,1,9,Isuzu
Flexidy,Antibacterial Foam,35,73,Mitsubishi
Voyatouch,Rabbit Hair,2,67,Chrysler
Aerified,Bupropion Hydrochloride,22,70,Toyota
Solarbreeze,BOBBI BROWN SPF 50 PROTECTIVE FACE BASE,61,30,Chevrolet
Matsoft,Be gone Motion Sickness,90,35,Honda
Lotstring,Doxycycline Hyclate,22,77,Saab
Home Ing,Enoxaparin Sodium,10,92,Mazda
Hatity,Finasteride,32,11,Saturn
Tampflex,TOFRANIL,72,39,Nissan
Holdlamis,Hydralazine Hydrochloride,77,97,Buick
Cardguard,Clopidogrel bisulfate,92,57,Plymouth
Flowdesk,Olanzapine,97,1,Porsche
Tres-Zap,Ergocalciferol,27,35,Jaguar
Fixflex,Acetaminophen and Codeine,42,73,Ford
Cookley,Lemon,37,86,Chevrolet
Bytecard,Roxalia,33,18,Honda
Stim,Magnesium Citrate,40,68,Chrysler
Bitchip,Nitrogen,82,25,Audi
Holdlamis,Hydrocodone Bitartrate And Acetaminophen,61,58,Nissan
Biodex,Baby Respiration,60,81,Pontiac
Stringtough,ibuprofen,85,15,Dodge
Overhold,NutraRX Inflam Dr.,71,28,Dodge
Solarbreeze,Hand Sanitizer with Aloe,85,78,Volkswagen
Vagram,Levetiracetam,74,16,Mercedes-Benz
Y-find,Agaricus Muscarius Kit Refill,36,40,Dodge
Domainer,Ludent,41,28,Aston Martin
Flowdesk,Opana,71,88,Pontiac
Zontrax,OxyContin,84,82,Mitsubishi
Zontrax,Treatment Set TS332090,25,77,Dodge
Asoka,DEPRESSION,83,13,Ford
Span,Sulfamethoxazole and Trimethoprim,81,13,Chevrolet
Toughjoyfax,antiperspirant deodorant,12,29,GMC
Domainer,Anti-Diarrheal,34,41,Chevrolet
Stim,Gas Relief,21,55,Daewoo
Matsoft,Ziprasidone Hydrochloride,21,7,Toyota
Tin,TOLNAFTATE ANTIFUNGAL,48,84,Ford
Prodder,IMAGE ESSENTIALS,92,61,Jaguar
Treeflex,Meloxicam,9,93,Pontiac
Bytecard,Zermat Xtreme Roll-On Antiperspirant Deodorant,56,95,Buick
Fintone,Bald Cypress,18,39,Toyota
Voltsillam,CISplatin,65,54,Cadillac
Treeflex,Coconut Vanilla Hand Sanitizer,96,9,Nissan
Biodex,Stannum 0.4,79,27,Pontiac
Temp,THE SKIN EXTRA BB,42,40,Chevrolet
Overhold,ibuprofen,6,70,Chevrolet
Treeflex,Fosinopril sodium,6,11,Bentley
Andalax,Fluoxetine,94,31,Plymouth
Stringtough,Rivastigmine Tartrate,49,11,Volkswagen
Andalax,Valacyclovir Hydrochloride,54,74,Mitsubishi
Lotlux,Carbidopa and Levodopa,41,73,Porsche
Sub-Ex,Alprazolam,66,48,GMC
Sonair,TERUFLEX,5,66,Mercedes-Benz
Greenlam,Evista,55,38,Mazda
Zoolab,AHC Complex Choice EGF Booster,17,87,Ford
It,Vizamyl,43,90,Mercury
Holdlamis,RECOMBIVAX HB,5,42,Mazda
It,Divalproex Sodium,66,62,Ram
Trippledex,COLLAGEN HD PRIIMER BB,50,54,GMC
Bitchip,Pac-Dent Top Gel,16,1,Volkswagen
Sonsing,PERFECTION LUMIERE VELVET,46,27,GMC
Redhold,Budesonide,59,98,Chrysler
Solarbreeze,ceftriaxone,66,6,Honda
Cardguard,Lotrimin Ultra,50,98,Subaru
Home Ing,Temazepam,67,51,BMW
Alpha,Quinapril Hydrochloride,9,74,Ford
Cardguard,Antiseptic,93,84,Ram
Sub-Ex,Mirtazapine,54,24,Dodge
Ronstring,Morphine Sulfate,21,77,BMW
Lotlux,healthy accents cold and cough DM,37,10,Toyota
Keylex,Rimmel BB Beauty Balm,34,95,Pontiac
Voyatouch,Nivea A Kiss of Shimmer Radiant Lip Care,54,11,Audi
Flexidy,diltiazem hydrochloride,98,90,Ford
Cardify,Sore Throat Relief,44,80,Lexus
Toughjoyfax,Castellani Paint,97,38,Hyundai
Y-Solowarm,CORYLUS AMERICANA POLLEN,15,70,Volvo
Zoolab,Cough Relief,22,3,Kia
Konklux,Lovastatin,88,14,Volvo
